T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440769.3270876157,-103440.7793349168,1147019.428812919,17.10686667201976,-66.48622181890465,-78.36354031168734,115.3343776354255,4.628602657780299,0.5774041454944019,2.179359446073914,5.552772290039993,0.0,0.0,0.0,0.0,117.35175434077088,115.78134629342097,-2.0173767053453844,-0.4469686579954697,115.78134629342097,-0.4469686579954697,4.248249840564326,5.552772265715575,1.3045224494756669,2.4324418035348572e-08,5.552772265715575,2.4324418035348572e-08,97.14532390151626,8.483060852881863e-06,-97.14532390151626,-8.483060852881863e-06,8.483060852881863e-06,-8.483060852881863e-06
2,440786.6062620246,-103513.0673716863,1146938.526852905,16.10576806527119,-73.18696825574798,-81.1032507153653,112.8965190509881,5.586672075693203,3.145549022564817,3.994670935262162,7.172679394294844,17.279174408933613,-72.28803676948883,-80.90196001389995,109.8601714104433,117.24522778347031,116.04673893229749,-4.3487087324822085,-3.1502198813093827,116.04673893229749,-3.1502198813093827,4.262433494444036,7.1726793381730545,2.9102458998508087,5.612178988201322e-08,7.1726793381730545,5.612178988201322e-08,98.2501700689971,109.86017128428892,11.610001341446207,1.2615437583463063e-07,109.86017128428892,1.2615437583463063e-07
3,440801.2183154584,-103592.6457344187,1146859.043703386,17.0581810378135,-70.80554044895419,-79.28879958796811,118.0079864365616,5.203782651161743,0.8024724711226063,6.399675095528867,5.871243462323476,14.612053433782421,-79.57836273239809,-79.48314951895736,113.41868883995164,117.1386023969943,116.28792100537841,0.8693840395672936,1.7200654311831869,116.28792100537841,1.7200654311831869,4.27515967144366,5.871243431747745,1.596083790879816,3.057573128018021e-08,5.871243431747745,3.057573128018021e-08,99.3063283961422,113.4186884349333,14.112360443809436,4.050183406434371e-07,113.4186884349333,4.050183406434371e-07
4,440816.8660176149,-103674.6338309922,1146772.966132918,21.21430068090597,-75.43031209645036,-76.97869640505087,120.531784993805,0.8917480938945153,1.22999078984879,1.702503736242832,3.35267437438968,15.647702156507876,-81.98809657350648,-86.07757046818733,119.90098706946145,117.03190138890757,116.49835560505456,3.499883604897434,4.033429388750449,116.49835560505456,4.033429388750449,4.2864719331407315,3.352674393251276,-0.9337975587510514,-1.886159584074676e-08,3.352674393251276,-1.886159584074676e-08,100.31469431026963,119.90098615645647,19.58629275919182,9.130049818395491e-07,119.90098615645647,9.130049818395491e-07
5,440836.1778004699,-103748.8275756069,1146697.991885427,19.68322148938171,-76.76344888832995,-79.71971941912419,114.8018462667835,5.706621061378018,0.791838854929381,5.298157383067505,3.946761147051054,19.311782855016645,-74.19374461470579,-74.97424749098718,107.2324320522075,116.92514796677489,116.6725381588868,-2.123301699991387,-1.8706918921032951,116.6725381588868,-1.8706918921032951,4.296413841112781,3.9467611542512415,-0.3496526940617266,-7.200187557288018e-09,3.9467611542512415,-7.200187557288018e-09,101.27616323869736,107.23243213197647,5.956268813510135,-7.976896654326993e-08,107.23243213197647,-7.976896654326993e-08
6,440853.1491864885,-103835.4637122503,1146615.385214772,23.4317283914971,-77.8855412525263,-78.2705654236376,114.4911075935637,1.256105543666038,4.694304734440901,2.868367212151357,1.821143463946761,16.971386018558405,-86.63613664339937,-82.60667065484449,120.9037226580002,116.81836533816097,116.80631051045899,-2.3272577445972757,-2.315202916895288,116.80631051045899,-2.315202916895288,4.305028956937338,1.821143512870981,-2.483885492990577,-4.892422000857266e-08,1.821143512870981,-4.892422000857266e-08,102.19163060874348,120.90372166641563,18.712092049256725,9.915845708974302e-07,120.90372166641563,9.915845708974302e-07
7,440867.1145502029,-103905.5862160115,1146537.240629226,20.20758982844569,-76.51374163011933,-73.49970622044158,120.7866982238982,2.382473288582597,4.873834957357781,4.273059545480168,4.443215629401013,13.965363714436535,-70.1225037612021,-78.1445855461061,105.91871018658128,116.71157671063061,116.89710175499434,4.0751215132675895,3.8895964689038607,116.89710175499434,3.8895964689038607,4.312360842191936,4.4432156268562295,0.13085478720907684,2.5447830509506275e-09,4.4432156268562295,2.5447830509506275e-09,103.06199184772598,105.91871036930033,2.856718338855302,-1.8271904878019996e-07,105.91871036930033,-1.8271904878019996e-07
8,440886.6884078186,-103987.6640029087,1146451.544111389,18.45685732106727,-72.23685276462258,-77.86945425749835,116.4336000738556,2.344985285614972,6.659755432298216,1.598998927774803,1.400578480094569,19.573857615701854,-82.07778689719271,-85.69651783700101,120.26550699717762,116.6048052917485,116.94407471821921,-0.17120521789290422,-0.5104746443636117,116.94407471821921,-0.5104746443636117,4.318453058454104,1.4005785372741144,-2.917874578359535,-5.7179545320806824e-08,1.4005785372741144,-5.7179545320806824e-08,103.8881423829629,120.26550605560695,16.377364614214727,9.415706756499276e-07,120.26550605560695,9.415706756499276e-07
9,440903.217081872,-104067.3460701442,1146372.438510784,19.45345870849312,-75.76073077566609,-77.26330134551515,119.5429556684967,2.003958010339073,0.2237006030863372,6.842086421593036,3.417976769757971,16.528674053377472,-79.6820672354952,-79.1056006050203,113.49063816881883,116.49807428907944,116.9481633729321,3.0448813794172622,2.594792295564602,116.9481633729321,2.594792295564602,4.323349167301374,3.4179767873377376,-0.9053723975434029,-1.757976653138371e-08,3.4179767873377376,-1.757976653138371e-08,104.67097764177227,113.49063775816217,8.819660527046565,4.106566677819501e-07,113.49063775816217,4.106566677819501e-07
10,440917.4811765785,-104143.8745767468,1146298.666575002,19.11407325722161,-74.18565551663585,-78.30166348864623,115.2401316676063,0.3165607739064478,3.396837584831618,6.152771896873527,7.125029701077928,14.264094706508331,-76.52850660261174,-73.77193578192964,107.24912694113355,116.39140691018815,116.91199453251386,-1.1512752425818462,-1.6718628649075526,116.91199453251386,-1.6718628649075526,4.327092730311278,7.125029645891461,2.79793697076665,5.518646695179541e-08,7.125029645891461,5.518646695179541e-08,105.41139305147213,107.24912701959423,1.837733889661422,-7.846067262562428e-08,107.24912701959423,-7.846067262562428e-08
