T,x,y,z,Vx,Vy,Vz,V,Ax,Ay,Az,A,dx,dy,dz,displacement,V_pred_poly,V_pred_gpr,V_deviation_poly,V_deviation_gpr,V_pred,V_deviation,A_pred_poly,A_pred_gpr,A_deviation_poly,A_deviation_gpr,A_pred,A_deviation,displacement_pred_poly,displacement_pred_gpr,displacement_deviation_poly,displacement_deviation_gpr,displacement_pred,displacement_deviation
1,440768.3805587063,-103445.46133372796,1147017.2702329245,15.179262386419577,-72.96955499732573,-81.42358008804732,110.38462464246626,0.3211135761474722,-2.2962145258620295,-0.04843716161325348,2.3190647330747693,0.0,0.0,0.0,0.0,113.35956743239572,110.41346824894192,-2.9749427899294574,-0.028843606475660977,110.41346824894192,-0.028843606475660977,1.1882737881601924,2.3094072357472006,1.130790944914577,0.00965749732756871,2.3094072357472006,0.00965749732756871,97.18404113021167,28.187984810224634,-97.18404113021167,-28.187984810224634,28.187984810224634,-28.187984810224634
2,440784.4906207098,-103518.3279016708,1146936.0533244354,15.488523818424436,-74.89809343106461,-81.40582346646116,111.69837449101496,0.2912249320972478,-1.8807658712263333,0.035013390718961535,1.9035015526587924,16.110062003484927,-72.86656794283772,-81.21690848912112,110.29622407886224,113.26353671493449,111.78953193281002,-1.565162223919529,-0.0911574417950618,111.78953193281002,-0.0911574417950618,1.1374680349690056,1.9128198330526358,0.7660335176897868,-0.009318280393843414,1.9128198330526358,-0.009318280393843414,98.27708320574875,95.74535813175952,12.019140873113486,14.550865947102722,95.74535813175952,14.550865947102722
3,440800.6424621249,-103598.55325593133,1146853.6940512143,15.797785250429296,-76.82663186480349,-81.388066844875,113.03061004548529,0.2613362880470234,-1.465317216590637,0.11846394305117655,1.493145976283083,16.15184141509235,-80.22535426053219,-82.35927322111093,116.1035715765703,113.1668860829483,113.0152202900816,-0.13627603746300565,0.01538975540368881,113.0152202900816,0.01538975540368881,1.088638156192423,1.490062517463006,0.40450782009066,0.0030834588200769897,1.490062517463006,0.0030834588200769897,99.32200115146509,119.37607313861363,16.781570425105215,-3.272501562043331,119.37607313861363,-3.272501562043331
4,440816.16154410446,-103675.05503747694,1146772.5869373651,16.107046682434156,-78.75517029854237,-81.37031022328884,114.38068537745693,0.231447643996799,-1.0498685619549406,0.20191449538339157,1.0938745233064593,15.519081979582552,-76.50178154560854,-81.10711384913884,112.56877187780891,113.06965724020513,113.89642163240282,1.311028137251796,0.48426374505410763,113.89642163240282,0.48426374505410763,1.0417493980757602,1.0931898982196269,0.05212512523069912,0.0006846250868324244,1.0931898982196269,0.0006846250868324244,100.31967897457488,111.02917945170049,12.249092903234029,1.5395924261084275,111.02917945170049,1.5395924261084275
5,440831.5340232611,-103751.2309251489,1146692.0630922352,16.176682394649834,-78.36760264654004,-80.84901699437759,113.75293291524628,0.1602156469278274,-0.5944687392050397,0.2934149042121163,0.6820223173960931,15.372479156649206,-76.17588767196867,-80.52384512987919,111.90696409310178,112.97189189047302,114.32153517919225,0.7810410247732591,-0.5686022639459765,114.32153517919225,-0.5686022639459765,0.9967670068643328,0.6785661845770173,-0.31474468946823975,0.0034561328190757523,0.6785661845770173,0.0034561328190757523,101.27100068229241,113.03482061256629,10.635963410809367,-1.1278565194645154,113.03482061256629,-1.1278565194645154
6,440849.58007355384,-103835.76491855472,1146610.0172528084,16.456313466298162,-79.37695084997104,-80.6657759147929,114.36117340721617,0.0171657612198036,-0.08779252088191924,0.4024420802900579,0.41226425756939805,18.046050292730797,-84.53399340581382,-82.0458394268062,119.17707724034521,112.87363173751997,114.28573802145975,1.4875416696961992,0.07543538575642117,114.28573802145975,0.07543538575642117,0.9536562288034565,0.4122428476536481,-0.5413919712340585,2.1409915749948105e-05,0.4122428476536481,2.1409915749948105e-05,102.17685028183186,115.7040721149412,17.000226958513352,3.473005125404015,115.7040721149412,3.473005125404015
7,440864.81660937343,-103910.03632862514,1146530.7338085207,16.42423009313643,-79.48808528511435,-80.27325947806239,114.15737919065168,-0.0586791619338328,-0.012733667940483428,0.4260786195169203,0.4302887174373969,15.236535819596611,-74.27141007041791,-79.28344428772107,109.70076989590454,112.774918485114,113.88584482705049,1.3824607055376816,0.2715343636011909,113.88584482705049,0.2715343636011909,0.9123823101384473,0.448157827395798,-0.4820935927010504,-0.01786910995840113,0.448157827395798,-0.01786910995840113,103.03811178040749,112.07691724525085,6.662658115497052,-2.3761473493463114,112.07691724525085,-2.3761473493463114
8,440881.8018183798,-103992.53708998868,1146449.9226996484,16.069101639289876,-78.6338915836648,-79.64597857999615,113.07071608975768,-0.14978964251116872,0.29330951222014934,0.5135247653396788,0.610061547370114,16.985209006350487,-82.50076136353891,-80.81110887229443,116.72749576566281,112.67579383702311,113.29127287956366,0.39492225273457393,-0.2205567898059826,113.29127287956366,-0.2205567898059826,0.8729104971146204,0.5815451455697259,-0.26284894974450645,0.028516401800388058,0.5815451455697259,0.028516401800388058,103.85566918523351,113.95238765639554,12.8718265804293,2.775108109267265,113.95238765639554,2.775108109267265
9,440897.5443013138,-104070.2852658575,1146370.744071425,16.076892498484813,-78.80280061939557,-79.22852256419137,112.8959992452019,-0.09977901687962003,0.16861749988922412,0.49116158249322267,0.5287980839560623,15.742482934030704,-77.74817586882273,-79.17862822348252,112.07970283334132,112.57629949701531,112.69847642356594,0.3196997481865935,0.197522821635971,112.69847642356594,0.197522821635971,0.8352060359772919,0.5468761961471453,-0.3064079520212296,-0.018078112191083018,0.5468761961471453,-0.018078112191083018,104.63040650352417,112.82396987714048,7.449296329817145,-0.7442670437991694,112.82396987714048,-0.7442670437991694
10,440913.5617357801,-104148.80990785686,1146291.7822284563,15.881034051068127,-78.25304562172968,-78.62052054503002,112.05772013734341,0.00026429250952730854,-0.06775568917946515,0.4323953330167569,0.4376718260082399,16.017434466280974,-78.52464199936367,-78.96184296859428,112.50622317457278,112.47647716885864,112.27619198477583,-0.41875703151522714,-0.21847184743242565,112.27619198477583,-0.21847184743242565,0.7992341729717776,0.4344807410035062,-0.3615623469635377,0.003191085004733696,0.4344807410035062,0.003191085004733696,105.3632077424937,111.4517444541516,7.143015432079082,1.0544787204211872,111.4517444541516,1.0544787204211872
11,440929.3211131657,-104225.91392278802,1146213.6614312958,16.019368802849204,-78.83542076663579,-78.33018058307934,112.28205971780189,0.06211646198702496,-0.22028249637282044,0.38550517053576244,0.4483269672547419,15.759377385606058,-77.10401493115933,-78.12079716054723,110.88843962778878,112.37636855632108,112.11292735475264,-0.09430883851919702,0.1691323630492434,112.11292735475264,0.1691323630492434,0.7649601543433926,0.44980865458156655,-0.3166331870886507,-0.0014816873268246322,0.44980865458156655,-0.0014816873268246322,106.05495690935633,111.16185266354114,4.83348271843245,-0.2734130357523554,111.16185266354114,-0.2734130357523554
